ScientistName,preparation,date,components,login,password
Веденисов Василий Юриевич,Бетаметазон,1760-03-11,Chemical_1 Chemical_79 Chemical_23,Веденисов_ВЮ,1Jmg0siHOP
Назарбаев Геннадий Вадимович,Ёжик,1739-07-09,Chemical_68 Chemical_66 Chemical_31,Назарбаев_ГВ,GWjnd4RGWy
Верескина Ольга Сергеевна,Рибавирин,1439-04-28,Chemical_2 Chemical_38 Chemical_70,Верескина_ОС,H60l2wu9zN
Мойкина Инна Василевна,Рибавирин,1790-07-15,Chemical_53 Chemical_73 Chemical_83,Мойкина_ИВ,s7utZ2grvZ
Каледенков Вячеслав Денисович,Миртазапин,1901-05-08,Chemical_25 Chemical_60 Chemical_37,Каледенков_ВД,NP1KL6JBwj
Нечахин Альберт Николаевич,Азитромицин,1254-03-20,Chemical_16 Chemical_15 Chemical_70,Нечахин_АН,ffNLYwDBb4
Томасов Владислав Максимович,Женьшень,1162-07-26,Chemical_69 Chemical_54 Chemical_57,Томасов_ВМ,xPPnpFaZj6
Плетцова Виолетта Богдановна,Дикарбазин,0999-04-28,Chemical_52 Chemical_83 Chemical_21,Плетцова_ВБ,wdDJTPDNJ0
Гаврилкин Вадим Василиевич,Уоллтапс,1135-11-22,Chemical_91 Chemical_96 Chemical_8,Гаврилкин_ВВ,lBIz22Fu9G
Милетина Александра Аркадьевна,Амитриптилин,1422-01-28,Chemical_61 Chemical_42 Chemical_31,Милетина_АА,GUOkNvNBG8
Добранчева Зинаида Михайловна,Оксикодон,1518-01-22,Chemical_61 Chemical_77 Chemical_95,Добранчева_ЗМ,y3iJk2AlYs
Зиганова Зинаида Кирилловна,Ранитидин,1018-11-14,Chemical_79 Chemical_78 Chemical_77,Зиганова_ЗК,5me0G9Q1sv
Упорников Михаил Евгеньевич,Ибупрофен,1592-06-21,Chemical_77 Chemical_96 Chemical_19,Упорников_МЕ,lakjIFb77s
Веснянкина Марина Эдуардовна,Вальтрекс,0928-09-27,Chemical_38 Chemical_79 Chemical_54,Веснянкина_МЭ,8NmTCmKKLk
Снитникова Маргарита Богдановна,Итрафунгол,1844-10-11,Chemical_13 Chemical_50 Chemical_12,Снитникова_МБ,J8zDGzo8vb
Закакуев Максим Фёдорович,Нимулид,1236-09-19,Chemical_64 Chemical_51 Chemical_51,Закакуев_МФ,VlxedC6NJk
Помадкова Тамара Егоровна,Оланзапин,1213-01-09,Chemical_33 Chemical_8 Chemical_80,Помадкова_ТЕ,8tYnFE7D8o
Чубанова Алёна Романовна,Мелоксикам,1072-11-13,Chemical_76 Chemical_38 Chemical_23,Чубанова_АР,FZF14xaMa1
Реутский Федор Юриевич,Бромгексин,1584-03-18,Chemical_79 Chemical_7 Chemical_92,Реутский_ФЮ,2MUWVnAzSe
Пурювкин Руслан Георгиевич,Пентоксифиллин,1688-01-23,Chemical_3 Chemical_19 Chemical_37,Пурювкин_РГ,lhR5jykfmB
Помазенцев Яков Тимофеевич,Сетирозин,1941-02-23,Chemical_81 Chemical_34 Chemical_65,Помазенцев_ЯТ,yIV8Lsp3bM
Девушкина Жанна Андреевна,Золедроновая кислота,1379-11-10,Chemical_23 Chemical_51 Chemical_9,Девушкина_ЖА,lUo1af7xGA
Яшункина Дарья Сергеевна,Женьшень,1669-10-15,Chemical_30 Chemical_22 Chemical_91,Яшункина_ДС,z5Yl0MqR3O
Шалапугина Юлия Дмитриевна,Дуодарт,1109-04-27,Chemical_3 Chemical_17 Chemical_20,Шалапугина_ЮД,Hohs7Mg4QX
Пепинова Ева Ивановна,Ацетилсалициловая кислота,0963-02-26,Chemical_5 Chemical_62 Chemical_58,Пепинова_ЕИ,Fr1gIWqgYG
Юделева Валентина Игоревна,Бромгексин,1328-10-18,Chemical_52 Chemical_65 Chemical_73,Юделева_ВИ,qwfgK2mEBG
Монастыров Иван Юриевич,Ибупрофен,1241-12-25,Chemical_30 Chemical_52 Chemical_21,Монастыров_ИЮ,gOk8Pa4gMH
Досадина Зинаида Игоревна,Росувастатин,2005-09-16,Chemical_4 Chemical_30 Chemical_45,Досадина_ЗИ,17L1nTmcWL
Заяшникова Оксана Борисовна,Диклофенак,1869-08-12,Chemical_96 Chemical_73 Chemical_84,Заяшникова_ОБ,N4WBoF1ZcH
Непогодина Людмила Петровна,Витамин С,0900-02-24,Chemical_80 Chemical_34 Chemical_87,Непогодина_ЛП,ruMxX35s5n
Бежджонов Антон Евгеньевич,Амитриптилин,1528-09-28,Chemical_37 Chemical_70 Chemical_13,Бежджонов_АЕ,rHF3xA8Kmr
Могеев Станислав Алексиевич,Агонал,1106-11-23,Chemical_34 Chemical_87 Chemical_23,Могеев_СА,Tris4C9yhb
Нарымова Дарья Валерьевна,Жасмин,1343-05-05,Chemical_68 Chemical_55 Chemical_6,Нарымова_ДВ,xoA87E4KMi
Справников Игорь Адамович,Дуодарт,1091-06-24,Chemical_11 Chemical_85 Chemical_63,Справников_ИА,XDJPd3jFDo
Кормщиков Евгений Юриевич,Левофлоксацин,1911-06-28,Chemical_57 Chemical_29 Chemical_63,Кормщиков_ЕЮ,e2glKA0Bsg
Букатов Дмитрий Алексиевич,Бисакодил,1643-09-23,Chemical_53 Chemical_30 Chemical_58,Букатов_ДА,oP82bfU6lD
Абримов Павел Олегович,Амоксициллин,0938-12-20,Chemical_88 Chemical_13 Chemical_39,Абримов_ПО,oD7YW6nLCY
Падолкина Надежда Ивановна,Ингавирин,1792-05-08,Chemical_80 Chemical_13 Chemical_85,Падолкина_НИ,2OZFzKnoQH
Кавардин Вячеслав Тимофеевич,Аллопуринол,1388-04-06,Chemical_7 Chemical_55 Chemical_33,Кавардин_ВТ,1VDwYTCLXf
Кожаурова Жанна Ивановна,Левофлоксацин,1311-10-06,Chemical_10 Chemical_5 Chemical_41,Кожаурова_ЖИ,hPpVF6qtiG
Балакин Пётр Антонович,Спазмалгон,1326-09-12,Chemical_42 Chemical_30 Chemical_68,Балакин_ПА,otdOHQ8c60
Киржаков Геннадий Максимович,Золедроновая кислота,1478-03-20,Chemical_51 Chemical_8 Chemical_26,Киржаков_ГМ,j2e2Na0W1z
Давличаров Павел Игоревич,Бензоилпероксид,1184-02-17,Chemical_32 Chemical_73 Chemical_98,Давличаров_ПИ,kmCr45SJWj
Камашкин Артём Вадимович,Итрафунгол,1114-02-27,Chemical_98 Chemical_32 Chemical_16,Камашкин_АВ,0kP9MTkC04
Постатская Полина Алексеевна,Бензоилпероксид,0972-06-28,Chemical_12 Chemical_76 Chemical_81,Постатская_ПА,PfCiWHfDa1
Максимцев Станислав Николаевич,Зинорам,1045-01-13,Chemical_78 Chemical_13 Chemical_54,Максимцев_СН,D5t9xYZdRq
Петюшина Светлана Эдуардовна,Агонал,1506-10-21,Chemical_38 Chemical_53 Chemical_58,Петюшина_СЭ,so9dFSkbJ3
Петрина Наталья Аркадьевна,Лозартан,1648-04-28,Chemical_3 Chemical_70 Chemical_35,Петрина_НА,zmSRk4rDz4
Крутцов Станислав Юриевич,Росувастатин,1256-01-26,Chemical_8 Chemical_39 Chemical_82,Крутцов_СЮ,9YaeJ0scFm
Ананчева Вероника Ивановна,Гидрохлоротиазид,1060-03-03,Chemical_98 Chemical_57 Chemical_56,Ананчева_ВИ,hiK2VQcb38
Цыцарцев Валерий Василиевич,Нитросорбид,1063-08-08,Chemical_21 Chemical_60 Chemical_8,Цыцарцев_ВВ,vu7MQySS31
Зазнобкина Ирина Богдановна,Золаир,1917-10-07,Chemical_58 Chemical_65 Chemical_98,Зазнобкина_ИБ,TxK2qj0wyE
Обризова Алена Олеговна,Антациды,1712-06-24,Chemical_58 Chemical_35 Chemical_10,Обризова_АО,h7QZORhsTW
Салянкин Владислав Фёдорович,Небиволол,1420-07-13,Chemical_51 Chemical_84 Chemical_32,Салянкин_ВФ,r7zZkZzObV
Чернедова Алиса Аркадьевна,Оланзапин,1869-08-16,Chemical_21 Chemical_17 Chemical_57,Чернедова_АА,C8S9GyzQdd
Токарев Руслан Алексеевич,Виагра,1591-05-12,Chemical_90 Chemical_13 Chemical_52,Токарев_РА,MCwIzuy5kw
Миридинов Денис Денисович,Зылорик,1166-03-13,Chemical_17 Chemical_42 Chemical_97,Миридинов_ДД,Ud4hMAul1s
Копелькина Елизавета Алексеевна,Агонал,1181-05-22,Chemical_4 Chemical_58 Chemical_52,Копелькина_ЕА,cl6R9auu54
Будяков Михаил Петрович,Женьшень,1989-11-10,Chemical_24 Chemical_17 Chemical_83,Будяков_МП,EE3fb5OC08
Мавлекиева Дарья Валерьевна,Зинорам,1766-05-02,Chemical_15 Chemical_8 Chemical_59,Мавлекиева_ДВ,6gLvSESbIc
Бальнова Светлана Богдановна,Венолайфт,1392-08-15,Chemical_27 Chemical_76 Chemical_28,Бальнова_СБ,07RpNqC1OJ
Муруев Никита Николаевич,Спазмалгон,1497-04-10,Chemical_81 Chemical_85 Chemical_82,Муруев_НН,H8l9nIw9UE
Танкуйлин Аркадий Кириллович,Железа препараты,0939-06-15,Chemical_58 Chemical_95 Chemical_70,Танкуйлин_АК,79qqO5UYe1
Леплинский Владислав Юриевич,Кетопрофен,1907-02-06,Chemical_63 Chemical_97 Chemical_69,Леплинский_ВЮ,GJjHIyqag7
Жегланова Алёна Ивановна,Колчицин,1726-04-28,Chemical_51 Chemical_50 Chemical_64,Жегланова_АИ,bXN1Ole28l
Шелдукова Алина Викторовна,Метформин,1908-06-19,Chemical_28 Chemical_22 Chemical_60,Шелдукова_АВ,b1l5mRnOj4
Рапиева Зинаида Никитична,Бетаин,1376-12-13,Chemical_48 Chemical_5 Chemical_53,Рапиева_ЗН,5T4Bd3PWW0
Гермогенов Иван Тимофеевич,Амоксиклав,1936-10-10,Chemical_97 Chemical_22 Chemical_38,Гермогенов_ИТ,IHD5qF7mCX
Холсин Константин Сергеевич,Кетопрофен,1148-04-05,Chemical_32 Chemical_86 Chemical_37,Холсин_КС,nPFn9qfmEJ
Вакунов Александр Викторович,Метопролол,0914-04-03,Chemical_58 Chemical_2 Chemical_87,Вакунов_АВ,Uwxq4GsVKb
Подласова Вера Андреевна,Рибавирин,1034-12-01,Chemical_80 Chemical_33 Chemical_46,Подласова_ВА,rMvB5olgre
Городцов Игорь Валериевич,Симвастатин,1468-06-03,Chemical_45 Chemical_49 Chemical_18,Городцов_ИВ,vI2OkK4Lkb
Алексакова Карина Дмитриевна,Амоксиклав,1996-06-15,Chemical_18 Chemical_4 Chemical_48,Алексакова_КД,pHW1MAYCbv
Эссина Полина Ивановна,Мелатонин,1429-08-25,Chemical_20 Chemical_44 Chemical_84,Эссина_ПИ,xFTbelv3vH
Юртайкина Зинаида Ивановна,Уоллтапс,1107-09-26,Chemical_14 Chemical_47 Chemical_64,Юртайкина_ЗИ,bgn3eQNunE
Варваркина Софья Максимовна,Метопролол,1946-05-17,Chemical_64 Chemical_45 Chemical_83,Варваркина_СМ,SC9VtWH3ws
Зябкина Валерия Михайловна,Бетаин,1801-03-24,Chemical_21 Chemical_90 Chemical_87,Зябкина_ВМ,jkIh6PRiGw
Шерекина Екатерина Николаевна,Симвастатин,1005-05-02,Chemical_44 Chemical_1 Chemical_79,Шерекина_ЕН,RR2vK79B7B
Халипский Евгений Алексеевич,Пилипен,1068-05-23,Chemical_62 Chemical_13 Chemical_92,Халипский_ЕА,Eldkj58EJr
Голбина Галина Егоровна,Лоразепам,1321-06-08,Chemical_43 Chemical_89 Chemical_2,Голбина_ГЕ,PVHJfexPr7
Кузубов Роман Кириллович,Триптаны,1167-06-06,Chemical_36 Chemical_64 Chemical_98,Кузубов_РК,Yx6BNgPwDn
Эзенкина Ксения Ивановна,Ретардин,1599-01-21,Chemical_90 Chemical_92 Chemical_67,Эзенкина_КИ,zb8CZfvtrx
Киричуков Никита Игоревич,Бетаин,1498-08-25,Chemical_97 Chemical_15 Chemical_53,Киричуков_НИ,e1AB6txs9H
Агафеева Тамара Олеговна,Клопидогрел,0932-08-16,Chemical_17 Chemical_72 Chemical_22,Агафеева_ТО,khUSJzojJ1
Ханевичев Геннадий Викторович,Ингавирин,1445-06-15,Chemical_100 Chemical_88 Chemical_31,Ханевичев_ГВ,lUNXgjF8gI
Мицина Светлана Кирилловна,Норматен,1032-04-04,Chemical_44 Chemical_16 Chemical_60,Мицина_СК,ssvbjPPw8l
Атарщиков Артём Викторович,Валидол,0935-09-01,Chemical_48 Chemical_25 Chemical_54,Атарщиков_АВ,rdSXu9hNxO
Эйдикова Ирина Егоровна,Ранитидин,1304-10-20,Chemical_22 Chemical_48 Chemical_13,Эйдикова_ИЕ,MHRxhIb1fY
Каплина Валентина Романовна,Алпразолам,1380-12-06,Chemical_73 Chemical_48 Chemical_15,Каплина_ВР,xjFh2DcW3D
Осицимский Алексей Юриевич,Норматен,1026-12-09,Chemical_81 Chemical_80 Chemical_35,Осицимский_АЮ,prHPDjv1yD
Плантова Катерина Николаевна,Урсофальк,1849-12-27,Chemical_19 Chemical_60 Chemical_28,Плантова_КН,iuV4I5EBVb
Селемнева Мария Вадимовна,Омепразол,1776-10-08,Chemical_67 Chemical_94 Chemical_77,Селемнева_МВ,2ZTymVcbF1
Сымчева Зинаида Богдановна,Бисакодил,1765-06-26,Chemical_53 Chemical_58 Chemical_28,Сымчева_ЗБ,bbsP095Xx1
Стретова Раиса Яковлевна,Дикарбазин,1694-05-06,Chemical_82 Chemical_95 Chemical_53,Стретова_РЯ,Jm4S4UN59C
Царитова Галина Олеговна,Омега-3 кислоты,1962-05-03,Chemical_97 Chemical_61 Chemical_81,Царитова_ГО,5l8MDyGTxZ
Дрыкина Кристина Василевна,Метопролол,1152-05-06,Chemical_79 Chemical_60 Chemical_18,Дрыкина_КВ,YqzyJ626JK
Спорягина Анна Кирилловна,Антациды,2009-03-04,Chemical_16 Chemical_19 Chemical_14,Спорягина_АК,YYWS5ApcTp
Цепикин Константин Евгеньевич,Виалар,1502-09-18,Chemical_1 Chemical_36 Chemical_54,Цепикин_КЕ,Pxj4iReCP5
Кордашин Пётр Данилович,Ингавирин,1598-01-05,Chemical_31 Chemical_65 Chemical_25,Кордашин_ПД,WlzI6wgKHx
Байдильдин Станислав Вадимович,Гропирон,1224-02-12,Chemical_17 Chemical_6 Chemical_88,Байдильдин_СВ,ZcZnKUDN4p
Ябковская Елена Яковлевна,Антациды,1504-12-24,Chemical_52 Chemical_27 Chemical_29,Ябковская_ЕЯ,Z2R6rXs6SF
Ионкин Владимир Иванович,Ретардин,1164-04-22,Chemical_71 Chemical_3 Chemical_11,Ионкин_ВИ,gjvX6A7d9C
Пониматкин Артём Яковлевич,Бромгексин,0963-10-18,Chemical_11 Chemical_1 Chemical_69,Пониматкин_АЯ,9s5bpQ5ZTs
Охочинская Жанна Валерьевна,Триптаны,1643-10-17,Chemical_91 Chemical_3 Chemical_32,Охочинская_ЖВ,df7sqQ1zHw
Размыкова Алина Кирилловна,Тианептин,1045-06-04,Chemical_86 Chemical_37 Chemical_69,Размыкова_АК,oXm0pePaIw
Аврамов Руслан Алексиевич,Кандесартан,1308-02-21,Chemical_61 Chemical_97 Chemical_31,Аврамов_РА,q9DpDp0TiH
Семовских Лиза Викторовна,Пропанолол,1256-04-10,Chemical_75 Chemical_31 Chemical_8,Семовских_ЛВ,X6a0b7cfAT
Абалмазов Валентин Петрович,Пропанолол,2020-05-02,Chemical_4 Chemical_90 Chemical_93,Абалмазов_ВП,v1XvLEUUrq
Аскаров Илья Кириллович,Ниссан,1851-02-04,Chemical_100 Chemical_39 Chemical_76,Аскаров_ИК,4iSvloVHy7
Свирстина Жанна Богдановна,Допамин,1523-04-21,Chemical_89 Chemical_40 Chemical_27,Свирстина_ЖБ,seShpl3O6H
Копытенков Олег Денисович,Золекс,1373-11-03,Chemical_25 Chemical_35 Chemical_39,Копытенков_ОД,n81SVFBrgI
Аполонин Максим Михаилович,Лоразепам,1519-07-06,Chemical_83 Chemical_62 Chemical_76,Аполонин_ММ,2KduqOSbrl
Добрышкин Аркадий Валериевич,Золаир,1300-11-25,Chemical_32 Chemical_43 Chemical_27,Добрышкин_АВ,UVOPokh71f
Хромачев Валентин Василиевич,Диклофенак,1682-02-07,Chemical_58 Chemical_12 Chemical_64,Хромачев_ВВ,cZ1froOwzx
Панчекин Виталий Аркадиевич,Тикалиптин,1896-12-08,Chemical_33 Chemical_22 Chemical_94,Панчекин_ВА,NgtA7OWDIY
Саслина Тамара Максимовна,Венолайфт,1666-10-08,Chemical_99 Chemical_22 Chemical_31,Саслина_ТМ,cfhDhRy09k
Буглина Инна Михайловна,Ацетилсалициловая кислота,1278-10-17,Chemical_66 Chemical_100 Chemical_62,Буглина_ИМ,MnXtyu8rs6
Якутенкова Жанна Валерьевна,Сертралин,1988-08-19,Chemical_64 Chemical_69 Chemical_10,Якутенкова_ЖВ,yI8GYXkvzx
Сафошин Георгий Василиевич,Колчицин,1367-03-17,Chemical_9 Chemical_17 Chemical_28,Сафошин_ГВ,U1kGraR6ab
Каяцкая Ольга Борисовна,Индометацин,1440-10-12,Chemical_21 Chemical_60 Chemical_21,Каяцкая_ОБ,dz0Aa06ZZd
Карапозов Константин Василиевич,Левотироксин,1918-06-07,Chemical_55 Chemical_29 Chemical_4,Карапозов_КВ,d3YvFvlujV
Рустямова Алина Василевна,Итрафунгол,1575-05-07,Chemical_80 Chemical_30 Chemical_57,Рустямова_АВ,Sjl3Bs2J9R
Жерденков Илья Денисович,Колчицин,1401-09-15,Chemical_95 Chemical_49 Chemical_85,Жерденков_ИД,90piR6L4gl
Донышева Людмила Кирилловна,Золаир,1972-06-26,Chemical_19 Chemical_69 Chemical_82,Донышева_ЛК,NVJTQgBm90
Цыбышев Николай Антонович,Бромгексин,1724-08-07,Chemical_36 Chemical_40 Chemical_36,Цыбышев_НА,oKrm0QsnoZ
Севастокин Виктор Романович,Мидокалм,1279-04-15,Chemical_2 Chemical_64 Chemical_2,Севастокин_ВР,K5sP9kr65U
Баранихина Алла Евгеньевна,Иммунивит,1629-02-22,Chemical_81 Chemical_100 Chemical_80,Баранихина_АЕ,ZVhQzYArM1
Тараборина Марина Андреевна,Тианептин,1664-10-19,Chemical_63 Chemical_54 Chemical_70,Тараборина_МА,dyiD6Y6WwG
Шкутин Юрий Алексиевич,Рибавирин,1088-02-23,Chemical_49 Chemical_67 Chemical_24,Шкутин_ЮА,Pcvd10qarj
Пушменкова Наталья Богдановна,Сетирозин,1622-10-23,Chemical_68 Chemical_71 Chemical_90,Пушменкова_НБ,fN6ylZ7R9w
Малшенков Дмитрий Кириллович,Женьшень,1378-06-10,Chemical_17 Chemical_6 Chemical_59,Малшенков_ДК,B0nPDv3gHO
Валкин Денис Олегович,Парацетамол,1129-04-09,Chemical_93 Chemical_33 Chemical_39,Валкин_ДО,RN7GAIaBkr
Граннина Алиса Андреевна,Ранитидин,1329-04-25,Chemical_21 Chemical_89 Chemical_59,Граннина_АА,fue6CYN0Tq
Перемитина Алиса Борисовна,Амлодипин,1475-10-20,Chemical_30 Chemical_16 Chemical_65,Перемитина_АБ,1DimWQ2TDz
Масленцова Алина Вадимовна,Левофлоксацин,1367-11-21,Chemical_15 Chemical_43 Chemical_83,Масленцова_АВ,OPDUH8PC1f
Шалчков Денис Викторович,Рамиприл,1706-06-08,Chemical_58 Chemical_70 Chemical_1,Шалчков_ДВ,tGeIgl6Jxf
Проселкова Зинаида Максимовна,Рибавирин,1032-10-19,Chemical_46 Chemical_99 Chemical_73,Проселкова_ЗМ,dFMC7g9mEP
Большанин Павел Андреевич,Кетопрофен,1526-06-17,Chemical_60 Chemical_53 Chemical_35,Большанин_ПА,nXtKtLhaX3
Капцева Юлия Федоровна,Виалар,1902-07-26,Chemical_17 Chemical_89 Chemical_14,Капцева_ЮФ,GAaoP12OKm
Тюшагин Аркадий Борисович,Уоллтапс,1530-08-11,Chemical_79 Chemical_55 Chemical_23,Тюшагин_АБ,Sbwf4Hfh1m
Сусленков Игорь Денисович,Мезим,1214-05-15,Chemical_95 Chemical_79 Chemical_44,Сусленков_ИД,UYlfIPHa1i
Печуркина Жанна Борисовна,Виагра,1950-09-19,Chemical_40 Chemical_38 Chemical_48,Печуркина_ЖБ,SkFWCYbF1J
Крахоткина Софья Олеговна,Амлодипин,1381-04-02,Chemical_14 Chemical_7 Chemical_65,Крахоткина_СО,92QNuTl8P5
Огулова Виктория Борисовна,Глюкозамин,1779-08-09,Chemical_79 Chemical_14 Chemical_40,Огулова_ВБ,nejc90GC3M
Евиланова Раиса Федоровна,Габапентин,1823-07-15,Chemical_80 Chemical_75 Chemical_21,Евиланова_РФ,yypXCCrf0r
Крудакова Оксана Яковлевна,Ксарелто,1609-08-10,Chemical_88 Chemical_28 Chemical_59,Крудакова_ОЯ,1NMMSDbvSL
Осконов Роман Андреевич,Амоксиклав,1957-06-01,Chemical_6 Chemical_45 Chemical_30,Осконов_РА,hQD8FOSp5J
Находнов Пётр Михаилович,Евалар солгар мультивитамини,1315-02-12,Chemical_1 Chemical_62 Chemical_1,Находнов_ПМ,YkoTg0KETz
Дрычкова Кира Эдуардовна,Гропирон,1463-09-20,Chemical_100 Chemical_6 Chemical_72,Дрычкова_КЭ,ZsmEcQRfV1
Полатов Павел Алексеевич,Рамиприл,1792-07-25,Chemical_51 Chemical_6 Chemical_61,Полатов_ПА,98YK4xfSu5
Бострикова Софья Романовна,Оланзапин,1080-12-09,Chemical_94 Chemical_40 Chemical_35,Бострикова_СР,y94Hqg4zTH
Джоев Вадим Юриевич,Норматен,1896-08-19,Chemical_58 Chemical_85 Chemical_95,Джоев_ВЮ,z8S3qCBxAp
Актанаев Игорь Валериевич,Бисопролол,0992-01-04,Chemical_2 Chemical_11 Chemical_72,Актанаев_ИВ,aoygp7ZNyH
Чужакова Мария Дмитриевна,Метформин,1878-03-01,Chemical_20 Chemical_6 Chemical_8,Чужакова_МД,s2NvnPiDXA
Гиричева Полина Борисовна,Метопролол,1599-09-03,Chemical_9 Chemical_62 Chemical_84,Гиричева_ПБ,oTsxqb6PSs
Гродобоев Константин Михаилович,Оксикодон,2021-07-28,Chemical_64 Chemical_33 Chemical_76,Гродобоев_КМ,i8ji94Aleh
Сапетина Марина Дмитриевна,Спазмалгон,1814-12-23,Chemical_39 Chemical_84 Chemical_74,Сапетина_МД,NH1SOrwhSu
Писеева Катерина Богдановна,Амоксиклав,1090-11-18,Chemical_18 Chemical_16 Chemical_47,Писеева_КБ,lkX1XxLss2
Загладин Илья Тимофеевич,Уоллтапс,1441-04-08,Chemical_8 Chemical_75 Chemical_97,Загладин_ИТ,yfcu5lLN9D
Гридаева Елена Олеговна,Кандесартан,1568-03-06,Chemical_39 Chemical_9 Chemical_45,Гридаева_ЕО,beHSyIPj4W
Чармосова Наталия Алексеевна,Сетирозин,1847-05-17,Chemical_88 Chemical_84 Chemical_5,Чармосова_НА,yF6NslgwER
Бешкуров Вячеслав Данилович,Амлодипин,1456-11-04,Chemical_60 Chemical_59 Chemical_39,Бешкуров_ВД,eUpNoNQGR7
Голубкова Ирина Игоревна,Аллопуринол,0983-02-03,Chemical_17 Chemical_4 Chemical_91,Голубкова_ИИ,q7etYU3UOE
Атрохин Павел Юрьевич,Диклофенак,1584-04-11,Chemical_94 Chemical_41 Chemical_3,Атрохин_ПЮ,8F89EOdxnr
Бригина Надежда Федоровна,Ретардин,0908-05-02,Chemical_92 Chemical_37 Chemical_19,Бригина_НФ,pZ71N4sz98
Сернецкая Людмила Валерьевна,Бромгексин,1691-01-16,Chemical_40 Chemical_90 Chemical_12,Сернецкая_ЛВ,EByc5Wz65I
Лутфиева Алина Викторовна,Преднизолон,1239-11-01,Chemical_32 Chemical_68 Chemical_74,Лутфиева_АВ,2jPt39EhBd
Листиков Валентин Михаилович,Виалар,1748-12-27,Chemical_86 Chemical_61 Chemical_8,Листиков_ВМ,Cs9lOdX5Sy
Чилых Виктория Вадимовна,Бисакодил,1585-08-09,Chemical_67 Chemical_26 Chemical_43,Чилых_ВВ,nxonvLcBF4
Химунин Валерий Данилович,Ингавирин,1603-02-02,Chemical_26 Chemical_26 Chemical_65,Химунин_ВД,jOERMyjp3b
Баршикова Оксана Валерьевна,Сетирозин,1412-05-23,Chemical_85 Chemical_2 Chemical_77,Баршикова_ОВ,xpNvvW2vHZ
Ушмодина Людмила Михайловна,Мидокалм,1376-02-03,Chemical_60 Chemical_57 Chemical_23,Ушмодина_ЛМ,vt5m7QNKOu
Сайдышева Софья Никитична,Глюкозамин,1890-06-02,Chemical_45 Chemical_8 Chemical_49,Сайдышева_СН,qHtn8AADpn
Тащенков Дмитрий Денисович,Триптаны,1059-08-28,Chemical_84 Chemical_14 Chemical_9,Тащенков_ДД,e3hCw0ekyD
Сафалова Зинаида Николаевна,Миртазапин,1662-05-17,Chemical_73 Chemical_98 Chemical_51,Сафалова_ЗН,RAWvS3YZzS
Хажкасимов Борис Алексиевич,Живина,1032-08-14,Chemical_54 Chemical_85 Chemical_12,Хажкасимов_БА,EEq6JdNOVu
Куконова Алена Михайловна,Небиволол,1481-10-26,Chemical_74 Chemical_21 Chemical_38,Куконова_АМ,mZuZXT7mev
Борменкова Дарья Василевна,Левотироксин,1643-01-13,Chemical_74 Chemical_17 Chemical_76,Борменкова_ДВ,iIM7wu3ugd
Веденякин Аркадий Иванович,Спазмалгон,1938-09-24,Chemical_93 Chemical_95 Chemical_18,Веденякин_АИ,gEI5neT7SZ
Абубекаров Олег Юриевич,Сертралин,1811-03-08,Chemical_63 Chemical_17 Chemical_13,Абубекаров_ОЮ,C2MUGFjtEK
Лементуев Никита Фёдорович,Пилипен,2012-08-01,Chemical_22 Chemical_31 Chemical_48,Лементуев_НФ,eZd2Zbtqtm
Кашелев Борис Данилович,Метформин,1023-04-07,Chemical_97 Chemical_58 Chemical_29,Кашелев_БД,73ozfserIT
Жилнина Алла Федоровна,Мелатонин,1851-12-10,Chemical_2 Chemical_75 Chemical_77,Жилнина_АФ,W28ZQ1GxvZ
Тряпкин Михаил Денисович,Евалар солгар мультивитамини,1550-02-12,Chemical_65 Chemical_11 Chemical_15,Тряпкин_МД,TqMislp18e
Челочева София Олеговна,Нитросорбид,1780-12-07,Chemical_11 Chemical_48 Chemical_12,Челочева_СО,9lKAXHcG1C
Бульдыгина Кира Михайловна,Рибавирин,1057-06-18,Chemical_57 Chemical_21 Chemical_81,Бульдыгина_КМ,7YhmWAdI2F
Крумина Елизавета Михайловна,Итрафунгол,1612-01-02,Chemical_10 Chemical_73 Chemical_83,Крумина_ЕМ,qu7FjUUAwN
Астрактова Жанна Эдуардовна,Дектанол,1588-06-12,Chemical_89 Chemical_84 Chemical_42,Астрактова_ЖЭ,U6s8RbcYj5
Дугарский Александр Алексеевич,Спазмалгон,1026-06-26,Chemical_62 Chemical_71 Chemical_5,Дугарский_АА,ejW6jSSLqV
Яловкина Елизавета Игоревна,Тикалиптин,1278-05-05,Chemical_23 Chemical_34 Chemical_81,Яловкина_ЕИ,24Cq9gKWMZ
Рукавичкин Григорий Петрович,Бромгексин,1247-10-09,Chemical_15 Chemical_40 Chemical_5,Рукавичкин_ГП,gdPNpPxL5Q
Рубейкин Вячеслав Петрович,Метформин,0949-11-22,Chemical_15 Chemical_58 Chemical_1,Рубейкин_ВП,NwHBWU0b6V
Черкина Катерина Егоровна,Левофлоксацин,1299-10-11,Chemical_18 Chemical_51 Chemical_58,Черкина_КЕ,1G0NgaKWe8
Приданов Вадим Игоревич,Амоксициллин,1511-05-20,Chemical_43 Chemical_88 Chemical_96,Приданов_ВИ,0F1UmSylm5
Шехоболова Светлана Никитична,Железа препараты,1245-05-18,Chemical_45 Chemical_29 Chemical_5,Шехоболова_СН,Jo82kSa1Ls
Навотнева Лиза Богдановна,Кладрибин,1645-05-17,Chemical_82 Chemical_43 Chemical_98,Навотнева_ЛБ,EQy8TWurOM
